Title,Year,Authors,Included_(Y=yes_N=No),Comments
Neurotoxic exposure and impairment of the chemical senses of taste and smell,2015,"Doty, Richard L.",N,"No specific mention of air pollutants CO, O3, NO2 or Parkinson's as an adverse health outcome."
Neurotoxicity following acute inhalation of aerosols generated during resistance spot weld-bonding of carbon steel,2014,"Sriram, Krishnan; Jefferson, Amy M.; Lin, Gary X.; Afshari, Aliakbar; Zeidler-Erdely, Patti C.; Meighan, Terence G.; McKinney, Walter; Jackson, Mark; Cumpston, Amy; Cumpston, Jared L.; Leonard, Howard D.; Frazer, David G.; Antonini, James M.",N,The study does not explicitly mention Parkinson's as an adverse health outcome related to air pollutants.
Neurotoxicity mechanisms of manganese in the central nervous system,2021,"Pajarillo, E.; Nyarko-Danquah, I.; Adinew, G.; Rizor, A.; Áschner, M.; Lee, E.",N,"The study focuses on manganese, not the specified air pollutants CO, O3, NO2, and is a review, not an observational study."
Neurotoxicity of carbon monoxide targets caudate-mediated dopaminergic system,2018,"Sun, T.-K.; Chen, Y.-Y.; Huang, S.-H.; Hsu, S.-W.; Lee, C.-C.; Chang, W.-N.; Huang, C.-W.; Lui, C.-C.; Lien, C.-Y.; Cheng, J.-L.; Chang, C.-C.",Y,"The study investigates Parkinson's related to carbon monoxide exposure in a human population, meeting all inclusion criteria."
Neurotoxicity of diesel exhaust extracts in zebrafish and its implications for neurodegenerative disease,2022,"Ha, Sung Min; Barnhill, Lisa M.; Li, Sharon; Bronstein, Jeff M.",N,"The study focuses on zebrafish and diesel exhaust, not on human populations or the specified air pollutants."
Neutrophil myeloperoxidase: Soldier and statesman,2012,"Prokopowicz, Z.; Marcinkiewicz, J.; Katz, D.R.; Chain, B.M.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on myeloperoxidase and inflammation."
New facts and the concept of physiological regulation of the dopaminergic system function and its disorders,2015,"Krzymowski, T.; Stefańczyk-Krzymowska, S.",N,The study does not mention any air pollutants or explicitly link Parkinson's to air pollution.
Nicotine in Parkinson's Disease - a Therapeutic Track Gone up in Smoke?,2023,"Charbonneau, Pierre-François; Damier, Philippe",N,The study does not mention any air pollutants or link them to Parkinson's disease.
Nitrative and oxidative stress in toxicology and disease,2009,"Roberts, R.A.; Laskin, D.L.; Smith, C.V.; Robertson, F.M.; Allen, E.M.G.; Doorn, J.A.; Slikker, W.",Y,The study mentions ozone as an air pollutant and explicitly links oxidative stress to Parkinson's disease.
Nitric oxide and cellular stress response in brain aging and neurodegenerative disorders: The role of vitagenes,2004,"Calabrese, V.; Boyd-Kimball, D.; Scapagnini, G.; Butterfield, D.A.",N,The study does not focus on observational research linking air pollutants to Parkinson's disease.
"Nitric oxide-derived oxidants with a focus on peroxynitrite: Molecular targets, cellular responses and therapeutic implications",2011,"Calcerrada, P.; Peluffo, G.; Radi, R.",N,The article does not mention any of the specified air pollutants or Parkinson's as an adverse health outcome.
Nitroalkylation of α-synuclein by nitro-oleic acid: Implications for parkinson’s disease,2019,"Chavarría, C.; Trostchansky, A.; Durán, R.; Rubbo, H.; Souza, J.M.",N,"No air pollutants CO, O3, NO2 mentioned focuses on nitro-oleic acid and -synuclein without linking to specified pollutants."
Nitrooxidative Stress and Neuroinflammation Caused by Air Pollutants Are Associated with the Biological Markers of Neurodegenerative Diseases,2024,"Ramírez-Mendoza, A.A.; Mendoza-Magaña, M.L.; Ramírez-Herrera, M.A.; Hernández-Nazará, Z.H.; Domínguez-Rosales, J.A.",N,The study focuses on experimental approaches and does not meet the observational study criteria.
Nonmotor Symptoms in Vascular and Other Secondary Parkinsonism,2017,"Levin, O.S.; Chimagomedova, A.S.; Skripkina, N.A.; Lyashenko, E.A.; Babkina, O.V.",N,The study does not mention any air pollutants or link Parkinson's to air pollution.
"Novel 2,6-Diamino-4,5,6,7-tetrahydrobenzothiazole derivatives as triple-target D(2)R/D(3)R/5-HT(1A)R agonists with robust antidepressant and antiparkinsonian activity",2025,"Du, Xinli; Liu, Xuyan; Li, Lei; Feng, Zijin; Zhong, Yisheng; Luo, Kun; Hu, Zhijing; Xie, Peng; Wang, Guan",N,"The study is experimental, focusing on drug development rather than observational research on air pollution and Parkinson's."
"Novel Functional, Health, and Genetic Determinants of Cognitive Terminal Decline: Kuakini Honolulu Heart Program/Honolulu-Asia Aging Study",2022,"Margrett, Jennifer A.; Schofield, Thomas; Martin, Peter; Poon, Leonard W.; Masaki, Kamal; Donlon, Timothy A.; Kallianpur, Kalpana J.; Willcox, Bradley J.",N,No air pollutants mentioned focus is on cognitive decline and Parkinson's without linking to air pollution.
Novel Tools towards Magnetic Guidance of Neurite Growth: (I) Guidance of Magnetic Nanoparticles into Neurite Extensions of Induced Human Neurons and In Vitro Functionalization with RAS Regulating Proteins,2019,"Schöneborn, Hendrik; Raudzus, Fabian; Secret, Emilie; Otten, Nils; Michel, Aude; Fresnais, Jérome; Ménager, Christine; Siaugue, Jean-Michel; Zaehres, Holm; Dietzel, Irmgard D.; Heumann, Rolf",N,No mention of air pollutants focuses on neurite growth and treatment approaches for Parkinson's.
"Nucleic acid aptamers: Emerging applications in medical imaging, nanotechnology, neurosciences, and drug delivery",2017,"Röthlisberger, P.; Gasse, C.; Hollenstein, M.",N,The article does not mention any air pollutants or Parkinson's as an adverse health outcome.
Obsessive-compulsive disorder in Huntington's disease,1992,"Cummings, J.L.; Cunningham, K.",N,The study does not mention Parkinson's as an adverse health outcome related to air pollutants.
Occupational and environmental causes of parkinsonism,1992,"Tanner, C.M.",N,The article is a review and does not present original observational study data.
Occupational exposure to solid chemical agents in biomass-fired power plants and associated health effects,2014,"Jumpponen, M.; Rönkkömäki, H.; Pasanen, P.; Laitinen, J.",N,"No mention of the specified air pollutants CO, O3, NO2 or Parkinson's as related to air pollution."
Occupational neurotoxic diseases in Taiwan,2012,"Liu, C.-H.; Huang, C.-Y.; Huang, C.-C.",N,Does not explicitly link Parkinson's to air pollutants focuses on occupational neurotoxic diseases without relevant outcomes.
Olfactory deposition of inhaled nanoparticles in humans,2015,"Garcia, Guilherme J. M.; Schroeter, Jeffry D.; Kimbell, Julia S.",N,"No specific mention of air pollutants CO, O3, NO2 or Parkinson's as related to them."
Optimal sessions of hyperbaric oxygen therapy in patients with carbon monoxide poisoning: A prospective observational study,2021,"Han, S.; Nah, S.; Choi, S.; Kim, G.W.; Lee, Y.H.",N,"The study focuses on hyperbaric oxygen therapy for CO poisoning, not on Parkinson's as an adverse health outcome."
Over-expression of heme oxygenase-1 promotes oxidative mitochondrial damage in rat astroglia,2006,"Song, W.; Su, H.; Song, S.; Paudel, H.K.; Schipper, H.M.",N,"No observational study focuses on cellular mechanisms in rat astroglia, not human population or air pollutants."
Overexpression of heme oxygenase-1 protects dopaminergic neurons against 1-methyl-4-phenylpyridinium-induced neurotoxicity,2008,"Hung, S.-Y.; Liou, H.-C.; Kang, K.-H.; Wu, R.-M.; Wen, C.-C.; Fu, W.-M.",N,The study is experimental and does not meet the observational study criteria.
"Oxidation of cyanobacterial neurotoxin beta-N-methylamino-L-alanine (BMAA) with chlorine, permanganate, ozone, hydrogen peroxide and hydroxyl radical",2018,"Chen, Y.-T.; Chen, W.-R.; Lin, T.-F.",N,No mention of Parkinson's as an adverse health outcome related to air pollutants.
Oxidation of nitric oxide by oxomanganese-salen complexes: A new mechanism for cellular protection by superoxide dismutase/catalase mimetics,2002,"Sharpe, M.A.; Ollosson, R.; Stewart, V.C.; Clark, J.B.",N,The study does not focus on air pollutants or Parkinson's as an adverse health outcome related to them.
Oxidative stress and antioxidant potential of one hundred medicinal plants,2017,"Hassan, W.; Noreen, H.; Rehman, S.; Gul, S.; Kamal, M.A.; Kamdem, J.P.; Zaman, B.; Rocha, J.B.T.",N,The study does not mention any air pollutants or link Parkinson's disease to air pollution.
Oxidative Stress and Cellular Dysfunction in Neurodegenerative Disease,2022,"Singh, A.; Kukreti, R.; Kukreti, S.",N,No air pollutants mentioned focuses on oxidative stress and neurodegeneration without linking to specific pollutants.
Oxidative stress and mitochondrial dysfunction in sepsis: A potential therapy with mitochondria-targeted antioxidants,2009,"Víctor, V.M.; Esplugues, J.V.; Hernández-Mijares, A.; Rocha, M.",N,The study does not mention any air pollutants or Parkinson's as an adverse health outcome.
Oxidative stress-dependent changes in immune responses and cell death in the substantia nigra after ozone exposure in rat,2015,"Rivas-Arancibia, S.; Hernández-Zimbrón, L.F.; Rodríguez-Martínez, E.; Deyanira-Maldonado, P.; Borgonio-Pérez, G.; Sepúlveda-Parada, M.",N,"Study is on rats, not human population does not meet inclusion criteria."
"Oxidative stress, mitochondrial dysfunction and cellular stress response in Friedreich's ataxia",2005,"Calabrese, V.; Lodi, R.; Tonon, C.; D'Agata, V.; Sapienza, M.; Scapagnini, G.; Mangiameli, A.; Pennisi, G.; Stella, A.M.; Butterfield, D.A.",N,No air pollutants mentioned focuses on oxidative stress in neurodegenerative diseases without linking to specific pollutants.
Oxidized cholesterol metabolites found in human atherosclerotic lesions promote apolipoprotein C-II amyloid fibril formation,2007,"Stewart, C.R.; Wilson, L.M.; Zhang, Q.; Pham, C.L.L.; Waddington, L.J.; Staples, M.K.; Stapleton, D.; Kelly, J.W.; Howlett, G.J.",N,The study does not mention Parkinson's as an adverse health outcome related to air pollutants.
"Oxygen, the lead actor in the pathophysiologic drama: Enactment of the trinity of normoxia, hypoxia, and hyperoxia in disease and therapy",2007,"Kulkarni, A.C.; Kuppusamy, P.; Parinandi, N.",N,The article does not mention any air pollutants or Parkinson's as an adverse health outcome.
Ozone autohemotherapy induces long-term cerebral metabolic changes in multiple sclerosis patients,2014,"Molinari, F.; Simonetti, V.; Franzini, M.; Pandolfi, S.; Vaiano, F.; Valdenassi, L.; Liboni, W.",N,"The study focuses on ozone therapy for multiple sclerosis, not on Parkinson's disease or its relation to air pollutants."
Ozone Environmental Pollution: Relationship between the Intestine and Neurodegenerative Diseases,2023,"Rivas-Arancibia, S.; Miranda-Martínez, A.; Rodríguez-Martínez, E.; Hernández-Orozco, E.; Valdés-Fuentes, M.; de la Rosa-Sierra, R.",Y,The study discusses ozone as an air pollutant and explicitly mentions Parkinson's as a related neurodegenerative disease.
Ozone preconditioning protects against rotenone-induced neurodegeneration in rats,2008,"Shehata, A.M.; Re, L.; Yousef, O.M.",N,"The study is experimental on rats, not observational in humans, and does not meet inclusion criteria."
Ozone therapy in the treatment of some strictly neurologic pathologies,2013,"Maffei, R.M.; Maffei, L.M.",N,"The study focuses on ozone therapy and does not investigate air pollutants like O3, CO, or NO2 in relation to Parkinson's."
Ozone Therapy: Clinical and Basic Evidence of Its Therapeutic Potential,2008,"Re, L.; Mawsouf, M.N.; Menéndez, S.; León-Fernández, O.S.; Sánchez, G.M.; Hernández Rosales, F.",Y,"The study mentions ozone as a pollutant and investigates its effects on Parkinson's disease, meeting inclusion criteria."
Ozone-induced Neurotoxicity: Mechanistic Insights and Implications for Neurodegenerative Diseases,2026,"Bjørklund, G.; Gurgaş, L.; Hangan, T.",N,"While ozone is mentioned, Parkinson's is not explicitly linked as an adverse health outcome related to air pollution."
Ozone: a natural bioactive molecule with antioxidant property as potential new strategy in aging and in neurodegenerative disorders,2020,"Scassellati, C.; Galoforo, A.C.; Bonvicini, C.; Esposito, C.; RICEVUTI, G.",N,The study does not explicitly mention Parkinson's as an adverse health outcome related to ozone.
Pallidoreticular lesion in carbon monoxide intoxication by gradient echo: Report of a case with parkinsonism features and review of the literature,2012,"Chen, N.-C.; Lui, C.-C.; Huang, S.-H.; Huang, C.-W.; Lee, C.-C.; Chang, W.-N.; Chen, C.-H.; Lin, Y.-T.; Chang, C.-C.",N,"This is a case report, not an observational study, and does not meet the inclusion criteria."
Paraquat induces long-lasting dopamine overflow through the excitotoxic pathway in the striatum of freely moving rats,2003,"Shimizu, K.; Matsubara, K.; Ohtaki, K.; Fujimaru, S.; Saito, O.; Shiono, H.",N,"The study focuses on paraquat, not the specified air pollutants CO, O3, NO2, and does not meet inclusion criteria."
PARK2 Suppresses Proliferation and Tumorigenicity in Non-small Cell Lung Cancer,2019,"Duan, Huijie; Lei, Zhong; Xu, Fei; Pan, Tao; Lu, Demin; Ding, Peili; Zhu, Chunpeng; Pan, Chi; Zhang, Suzhan",N,"The study focuses on PARK2 in lung cancer, not on Parkinson's disease related to air pollutants."
Parkinson's disease aggravation in association with fine particle components in New York State,2021,"Nunez, Yanelli; Boehme, Amelia K.; Li, Maggie; Goldsmith, Jeff; Weisskopf, Marc G.; Re, Diane B.; Navas-Acien, Ana; van Donkelaar, Aaron; Martin, Randall V.; Kioumourtzoglou, Marianthi-Anna",N,"The study focuses on PM2.5 components, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Parkinson's disease and long-term exposure to outdoor air pollution: A matched case-control study in the Netherlands,2019,"Toro, R.; Downward, G.S.; van der Mark, M.; Brouwer, M.; Huss, A.; Peters, S.; Hoek, G.; Nijssen, P.; Mulleners, W.M.; Sas, A.; Van Laar, T.; Kromhout, H.; Vermeulen, R.",Y,The study investigates Parkinson's disease related to nitrogen oxides and is an observational case-control study.
Parkinson's Disease Is Predominantly an Environmental Disease,2024,"Dorsey, E. Ray; Bloem, Bastiaan R.",N,"No specific mention of the required air pollutants CO, O3, NO2 in the abstract."
Parkinson's disease mortality and the industrial use of heavy metals in Michigan,1993,"Rybicki, B. A.; Johnson, C. C.; Uman, J.; Gorell, J. M.",N,"No air pollutants CO, O3, NO2 are mentioned only heavy metals are discussed."
Parkinson's disease–etiology and smoking,1989,"Aquilonius, S.-M.",N,No air pollutants mentioned focuses on smoking and neurotoxic mechanisms without linking to air pollution.
Parkinson's disease: A test of the multifactorial etiologic hypothesis,1993,"Semchuk, K.M.; Love, E.J.; Lee, R.G.",N,No air pollutant is mentioned only herbicides and other compounds are discussed.
Parkinson's disease: Diagnosis and treatment,1996,"Don, C.N.G.",N,The article does not mention air pollutants or link them to Parkinson's disease.
Parkinsonism after carbon monoxide poisoning,2002,"Choi, I.S.",Y,"The study investigates parkinsonism related to carbon monoxide exposure, meeting all inclusion criteria."
